metabolite_id,index
M_gthrd_e,636
M_sufbcd_c,1043
M_ddca_p,456
M_clpn181_p,395
M_murein5px4px4p_p,820
M_spmd_c,1025
M_hxan_e,687
M_lcts_p,738
M_mococdp_c,797
M_tmrs2eACP_c,1070
M_pram_c,962
M_cu2_c,427
M_12dgr141_c,5
M_tddec2eACP_c,1052
M_4adcho_c,201
M_co2_e,400
M_2pg_c,132
M_murein4px4p4p_p,811
M_aacoa_c,243
M_ugmd_c,1118
M_thym_p,1066
M_asn_DASH_L_e,338
M_asn_DASH_L_c,337
M_2odecg3p_p,124
M_15dap_e,24
M_3fe4s_c,147
M_amob_c,309
M_pg181_p,918
M_dump_c,496
M_ahdt_c,286
M_murein4p4p_p,810
M_his_DASH_L_e,670
M_2agpe140_c,68
M_pg141_p,910
M_xmp_c,1146
M_4ppan_c,211
M_pe141_c,894
M_oc2coa_c,844
M_4abut_e,197
M_23dhdp_c,59
M_2agpe140_p,69
M_1hdecg3p_c,44
M_5dglcn_e,220
M_cbasp_c,359
M_h_p,653
M_ACP_c,234
M_mg2_e,780
M_2p4c2me_c,131
M_anhm_c,320
M_co2_c,399
M_3hddecACP_c,156
M_moadcoo_c,791
M_pi_p,946
M_thdp_c,1056
M_pa181_c,882
M_tdecoa_c,1055
M_2agpg160_c,86
M_2ommbl_c,128
M_unaga_c,1122
M_26dap_DASH_LL_c,64
M_novbcn_p,839
M_nad_c,825
M_12dgr180_p,12
M_ac_e,247
M_udpLa4o_c,1114
M_unagamuf_c,1124
M_nh4_e,831
M_2ahbut_c,94
M_pgp181_p,932
M_ddcaACP_c,454
M_malthx_c,763
M_bmoco1gdp_c,348
M_ca2_p,357
M_dpcoa_c,483
M_fecrm_DASH_un_e,537
M_3ohdcoa_c,183
M_23dhba_c,57
M_lac_DASH_D_c,729
M_o2_c,840
M_ocdcap_c,850
M_mobd_c,793
M_octa_c,854
M_pi_e,945
M_dgmp_c,460
M_udpLa4fn_c,1112
M_uLa4n_c,1097
M_hom_DASH_L_c,676
M_glc_DASH_D_e,590
M_5fthf_c,223
M_colipa_p,408
M_2agpg161_p,89
M_2ddecg3p_c,99
M_3haACP_c,148
M_pa141_c,874
M_pa140_c,872
M_12dgr160_p,8
M_alaala_e,300
M_12dgr120_c,1
M_cys_DASH_L_c,430
M_oaa_c,843
M_pydx_c,986
M_xan_p,1145
M_5aprbu_c,216
M_hco3_c,654
M_ocdcea_p,852
M_orn_p,865
M_ppp9_c,959
M_zn2_c,1152
M_hxan_p,688
M_feoxam_DASH_un_p,547
M_alltn_c,303
M_phe_DASH_L_e,934
M_12ppd_DASH_S_c,18
M_dha_p,465
M_ile_DASH_L_e,699
M_orot5p_c,866
M_12dgr161_p,10
M_gmhep17bp_c,626
M_etoh_p,519
M_imacp_c,701
M_phphhlipa_c,941
M_2mahmp_c,115
M_uamr_c,1107
M_odecoa_c,859
M_enter_c,510
M_feoxam_DASH_un_e,546
M_12dgr140_c,3
M_his_DASH_L_p,671
M_dtbt_c,485
M_kdo2lipid4_e,722
M_succoa_c,1034
M_thex2eACP_c,1057
M_adn_c,273
M_u23ga_c,1093
M_murein5p5p5p_p,816
M_lipa_cold_c,744
M_23ddhb_c,55
M_mal_DASH_L_e,758
M_dnad_c,480
M_ichor_c,691
M_2mcacn_c,116
M_cpgn_p,416
M_glyc_DASH_R_c,615
M_hcys_DASH_L_c,655
M_lcts_c,737
M_dca_c,446
M_mincyc_e,783
M_lac_DASH_L_e,733
M_pgp160_c,925
M_hdcea_c,659
M_akg_e,290
M_2ombzl_c,126
M_ctbt_p,425
M_etha_c,514
M_1agpe140_p,27
M_3ohexACP_c,184
M_damp_c,440
M_pg161_p,914
M_pe180_c,900
M_g3pe_e,569
M_cdec3eACP_c,368
M_grxrd_c,632
M_ins_p,708
M_um4p_c,1120
M_asp_DASH_L_c,340
M_td2coa_c,1050
M_ppa_c,952
M_hgmeACP_c,667
M_pyr_e,989
M_anhgm3p_c,311
M_ttdca_p,1083
M_dgtp_c,462
M_indole_e,704
M_ade_e,271
M_glu_DASH_D_c,599
M_nmn_c,837
M_1agpg180_p,38
M_acorn_c,264
M_uri_e,1137
M_2agpg181_c,92
M_glyc_c,618
M_cpppg3_c,418
M_2omhmbl_c,127
M_gam6p_c,577
M_cytd_c,434
M_ile_DASH_L_c,698
M_6hmhptpp_c,230
M_4crsol_c,204
M_urea_p,1135
M_gthrd_p,637
M_thymd_p,1069
M_3oddcoa_c,179
M_4abut_c,196
M_anhgm3p_p,312
M_fecrm_DASH_un_c,536
M_1hdec9eg3p_c,42
M_glu5p_c,597
M_urdglyc_c,1132
M_ppgpp_c,956
M_pgp120_p,920
M_pgp160_p,926
M_colipap_p,410
M_uaccg_c,1100
M_flxr_c,552
M_octdp_c,856
M_pgp120_c,919
M_utp_c,1139
M_xtp_c,1147
M_1agpg141_p,35
M_thf_c,1058
M_na1_c,822
M_ditp_c,477
M_1hdec9eg3p_p,43
M_asp_DASH_L_e,341
M_1pyr5c_c,50
M_t3c7mrseACP_c,1048
M_oxam_c,868
M_3ocddec5eACP_c,174
M_cd2_c,365
M_glcn_e,593
M_arab_DASH_L_c,325
M_arbtn_DASH_fe3_c,327
M_malcoa_c,760
M_3ooctACP_c,187
M_murein5px3p_p,818
M_5aop_c,215
M_ddcacoa_c,457
M_lipidAds_c,750
M_udpLa4n_c,1113
M_pg160_p,912
M_pe120_c,890
M_15dap_c,23
M_acmum6p_c,260
M_acgam1p_c,256
M_glyc3p_p,614
M_arbtn_p,332
M_gicolipa_c,588
M_2hdecg3p_c,112
M_2agpe180_p,77
M_gmp_c,629
M_h2s_c,648
M_ipdp_c,709
M_uri_c,1136
M_fe3hox_c,533
M_dhpmp_c,472
M_fum_c,563
M_csn_c,423
M_12ppd_DASH_R_p,17
M_chor_c,380
M_cys_DASH_L_e,431
M_succ_e,1032
