 Count  Overhead File                    Line Function
     1         0 @Base\sort.jl           1720 #sort#33
     1         0 @Base\array.jl           367 similar
     1         0 @COCOA\src\COCOA.jl      767 extract_complexes_and_incidence(m…
     1         0 @Base\dict.jl            701 iterate
     1         0 @Base\dict.jl            684 skip_deleted
     1         0 @Base\io.jl              797 write(::IOBuffer, ::String, ::Cha…
     1         0 @Base\intfuncs.jl        852 dec(x::UInt64, pad::Int64, neg::B…
     1         1 …ase\strings\string.jl    70 String
     1         0 @COCOA\src\COCOA.jl      891 create_unidirectional_constraints…
     1         0 …rc\constraint_tree.jl   227 renumber_variables(x::ConstraintT…
     1         0 none                       ? #131
     1         0 …es\src\sorted_dict.jl   195 getindex
     1         0 …rc\constraint_tree.jl   160 collect_variables!
     1         0 …res\src\sorted_set.jl   389 intersect
     1         1 …piler\ssair\legacy.jl    22 inflate_ir!(ci::Core.CodeInfo, sp…
     1         0 …\compiler\optimize.jl  1254 statement_cost(ex::Expr, line::In…
     1         1 @Base\namedtuple.jl      399 diff_names(an::Tuple{Vararg{Symbo…
     1         0 …\compiler\ssair\ir.jl   246 resize!(stmts::Core.Compiler.Inst…
     1         0 …ler\ssair\slot2ssa.jl   721 construct_ssa!(ci::Core.CodeInfo,…
     1         0 …ler\ssair\inlining.jl   878 resolve_todo(mi::Core.MethodInsta…
     1         1 …ler\ssair\inlining.jl   867 get_local_result
     1         0 …sis\EscapeAnalysis.jl   893 add_alias_change!(astate::Core.Co…
     1         0 …sis\EscapeAnalysis.jl   362 ⊔ₑ
     1         1 @Base\bitset.jl          295 union(s::Core.Compiler.BitSet, se…
     1         1 …ler\ssair\irinterp.jl   239 scan!(callback::Core.Compiler.var…
     1         0 …ler\ssair\slot2ssa.jl    41 scan_slot_def_use(nargs::Int64, c…
     1         0 …ler\ssair\inlining.jl   718 batch_inline!(ir::Core.Compiler.I…
     1         0 …er\inferenceresult.jl   104 va_process_argtypes(va_handler!::…
     1         0 …\compiler\ssair\ir.jl   711 Core.Compiler.IncrementalCompact(…
     1         0 …\compiler\ssair\ir.jl  1495 process_node!(compact::Core.Compi…
     1         1 …ractinterpretation.jl  2276 abstract_call(interp::Core.Compil…
     1         0 …iler\ssair\domtree.jl   404 SNCA!(domtree::Core.Compiler.Gene…
     1         0 @COCOA\src\COCOA.jl     2079 concordance_analysis(model::Abstr…
     1         1 none                       ? (::COCOA.var"#63#73"{ConstraintTr…
     1         0 @COCOA\src\COCOA.jl     2178 get_module_id(complex_id::Symbol,…
     1         0 @COCOA\src\COCOA.jl     1797 process_in_stages(model::Abstract…
     1         0 …\src\ProgressMeter.jl   558 finish!
