reaction_id,index
R_GLYCAt2rpp_b,1054
R_PPGPPDP,1756
R_GLYCLTtex_b,1067
R_GLCNtex_f,1007
R_AGMtex_b,256
R_CTPS2,521
R_AIRC3_b,271
R_MLTG5,1421
R_ACGS,161
R_PAPA181,1609
R_UDPKAAT_f,2032
R_DAAD,549
R_PLIPA1E140pp,1703
R_ASNt2rpp_b,378
R_EX_tyr_DASH_L_LPAREN_e_RPAREN_,837
R_ENTCS,702
R_CYTDt2rpp_f,542
R_INSt2rpp_b,1238
R_CGLYtex_f,441
R_EX_h2o_LPAREN_e_RPAREN__f,784
R_EX_lac_DASH_L_LPAREN_e_RPAREN_,800
R_CTECOAI6_b,515
R_GLYALDtex_f,1045
R_PFK,1632
R_DADK_b,551
R_PA141abcpp,1591
R_EAR181x,662
R_UAPGR,2024
R_H2Otex_f,1124
R_EX_hxa_LPAREN_e_RPAREN_,790
R_2AGPG180tipp,41
R_ASPTA_b,391
R_FBA3_b,878
R_L_DASH_LACD2,1346
R_THDPS,1950
R_ACGAMT,159
R_LPLIPAL2A161,1321
R_MOADSUx,1440
R_BPNT,412
R_CITL,445
R_PRMICI_f,1780
R_NADPPPS,1479
R_2AGPGAT160,46
R_HCYSMT,1150
R_PPCK,1754
R_DHAtpp_f,589
R_GGGABADr_f,994
R_PPCDC,1753
R_ADEtex_f,217
R_PETNT161pp,1630
R_PYRtex_b,1844
R_KARA2_b,1255
R_U23GAAT,2012
R_APH161,342
R_NTD3,1527
R_APH140,339
R_NI2t3pp,1507
R_CYTK2_f,548
R_GDPMNP,990
R_LIPOS,1294
R_MICITDr_b,1407
R_QUIN2tex_b,1846
R_MLTP1_b,1426
R_GLUtex_f,1042
R_PAPA161pp,1606
R_OPHBDC,1574
R_GLYCTO4,1071
R_CDAPPA180,436
R_MLDCP1App,1412
R_POAACR,1743
R_NTD11,1524
R_UAGDP,2020
R_3OAR140_b,72
R_SULabcpp,1937
R_UDPGD,2029
R_PLIPA1E161pp,1706
R_SDPDS,1891
R_AM4PA,314
R_ARBabcpp,354
R_TDPADGAT,1943
R_DHAtex_f,587
R_HSDy_b,1179
R_LALDO2x,1269
R_2AGPA120tipp,15
R_RNDR4,1871
R_POR5_f,1745
R_FECRMabcpp,909
R_GLYtex_f,1084
R_DHQS,612
R_HISTD,1163
R_UAG2E_b,2015
R_IGPS,1219
R_PSERT,1799
R_3HAD80,63
R_ASNt2rpp_f,379
R_EX_so4_LPAREN_e_RPAREN__f,830
R_LEUtex_f,1288
R_DHORTS_b,607
R_3HAD60,62
R_MLTGY4pp,1425
R_TDSK,1948
R_ARGORNt7pp_b,362
R_EX_pheme_LPAREN_e_RPAREN_,821
R_HACD5_f,1140
R_ASPO5,388
R_HACD3_b,1135
R_G3PAT181,961
R_ORNDC,1580
R_MALS,1354
R_3HAD181,60
R_ADCL,211
R_FACOAE60,866
R_ACGK,160
R_ARBTNR3,348
R_2AGPEAT141,31
R_CA2tex_b,415
R_ACPPAT141,196
R_EX_for_LPAREN_e_RPAREN_,768
R_FTHFLi,945
R_KARA1_b,1253
R_SUCCt2_3pp,1929
R_NDPK5_f,1495
R_UDPGDC,2030
R_ECOAH3_b,680
R_R5PP,1855
R_GPDDA2,1092
R_HXPRT,1188
R_ARBTNtpp,353
R_THMDt2rpp_f,1955
R_ARGSS,366
